MNPlot,Test,RepNo,Mat_Date_Ground
48002,48,1,19
48003,48,1,18
48004,48,1,19
48005,48,1,14
48006,48,1,13
48007,48,1,13
48008,48,1,14
48009,48,1,15
48010,48,1,18
48011,48,1,16
48012,48,1,17
48013,48,1,14
48014,48,1,17
48015,48,1,18
48016,48,1,14
48017,48,1,14
48018,48,1,26
48019,48,1,14
48020,48,1,17
48021,48,1,17
48022,48,1,16
48023,48,1,19
48024,48,1,19
48025,48,1,16
48026,48,1,18
48027,48,1,25
48028,48,1,27
48029,48,1,20
48030,48,1,19
48031,48,1,20
48032,48,1,28
48033,48,1,19
48034,48,1,16
48035,48,1,19
48036,48,1,16
48037,48,1,20
48038,48,1,20
48039,48,1,18
48040,48,1,26
48041,48,1,28
48042,48,1,20
48043,48,1,18
48044,48,1,17
48045,48,1,17
48046,48,1,13
48047,48,1,16
48048,48,1,16
48049,48,2,14
48050,48,2,27
48051,48,2,13
48052,48,2,21
48053,48,2,17
48054,48,2,26
48055,48,2,20
48056,48,2,16
48057,48,2,25
48058,48,2,15
48059,48,2,16
48060,48,2,28
48061,48,2,20
48062,48,2,14
48063,48,2,26
48064,48,2,19
48065,48,2,18
48066,48,2,19
48067,48,2,16
48068,48,2,19
48069,48,2,19
48070,48,2,26
48071,48,2,27
48072,48,2,16
48074,48,2,16
48075,48,2,17
48076,48,2,18
48077,48,2,14
48078,48,2,14
48079,48,2,19
48080,48,2,21
48081,48,2,19
48082,48,2,16
48083,48,2,13
48084,48,2,15
48085,48,2,19
48086,48,2,12
48087,48,2,15
48088,48,2,15
48089,48,2,19
48090,48,2,13
48091,48,2,14
48092,48,2,14
48093,48,2,16
48094,48,2,19
48095,48,2,19
48096,48,2,18
49002,49,1,19
49003,49,1,18
49004,49,1,20
49005,49,1,20
49006,49,1,19
49007,49,1,18
49008,49,1,17
49009,49,1,17
49010,49,1,18
49011,49,1,18
49012,49,1,16
49013,49,1,17
49014,49,1,19
49015,49,1,24
49016,49,1,26
49017,49,1,14
49018,49,1,18
49019,49,1,17
49020,49,1,17
49021,49,1,16
49022,49,1,18
49023,49,1,19
49024,49,1,19
49025,49,1,17
49026,49,1,18
49027,49,1,18
49028,49,1,17
49029,49,1,17
49030,49,1,17
49031,49,1,20
49032,49,1,14
49033,49,2,18
49034,49,2,18
49035,49,2,18
49036,49,2,17
49037,49,2,19
49038,49,2,18
49039,49,2,19
49040,49,2,19
49041,49,2,19
49042,49,2,19
49043,49,2,17
49044,49,2,16
49045,49,2,16
49046,49,2,20
49047,49,2,16
49048,49,2,17
49049,49,2,20
49050,49,2,18
49051,49,2,19
49052,49,2,19
49053,49,2,20
49054,49,2,14
49055,49,2,17
49056,49,2,16
49057,49,2,18
49058,49,2,16
49059,49,2,19
49060,49,2,18
49062,49,2,23
49063,49,2,19
49064,49,2,16
65001,65,1,34
65002,65,1,24
65003,65,1,33
65004,65,1,36
65005,65,1,36
65006,65,1,46
65007,65,1,43
65008,65,1,33
65009,65,1,44
65010,65,1,42
65011,65,1,41
65012,65,1,44
65013,65,1,34
65014,65,1,33
65015,65,1,33
65016,65,1,40
65017,65,1,36
65018,65,1,31
65019,65,1,46
65020,65,1,34
65021,65,1,35
65022,65,1,43
65023,65,1,36
65024,65,1,45
65025,65,1,35
65026,65,1,40
65027,65,1,44
65028,65,1,25
65030,65,1,17
65031,65,1,17
65032,65,1,34
65033,65,2,39
65034,65,2,40
65035,65,2,34
65036,65,2,24
65037,65,2,35
65038,65,2,46
65039,65,2,17
65040,65,2,30
65041,65,2,33
65042,65,2,35
65043,65,2,40
65044,65,2,40
65045,65,2,17
65046,65,2,41
65047,65,2,42
65048,65,2,44
65049,65,2,24
65050,65,2,33
65051,65,2,34
65052,65,2,36
65053,65,2,34
65054,65,2,17
65055,65,2,35
65056,65,2,35
65057,65,2,43
65058,65,2,47
65059,65,2,36
65060,65,2,44
65061,65,2,35
65062,65,2,33
65063,65,2,36
65064,65,2,36
65065,65,3,34
65066,65,3,36
65067,65,3,36
65068,65,3,43
65069,65,3,34
65070,65,3,17
65071,65,3,34
65072,65,3,42
65073,65,3,46
65074,65,3,36
65075,65,3,44
65076,65,3,34
65077,65,3,33
65078,65,3,41
65079,65,3,23
65080,65,3,17
65081,65,3,17
65082,65,3,35
65083,65,3,35
65084,65,3,35
65085,65,3,41
65086,65,3,35
65087,65,3,40
65088,65,3,36
65089,65,3,40
65090,65,3,24
65091,65,3,44
65092,65,3,48
65093,65,3,36
65094,65,3,40
65095,65,3,35
65096,65,3,42
66001,66,1,34
66002,66,1,27
66003,66,1,34
66004,66,1,36
66005,66,1,27
66006,66,1,27
66007,66,1,26
66008,66,1,32
66009,66,1,32
66010,66,1,41
66011,66,1,33
66012,66,1,40
66013,66,1,35
66014,66,1,35
66015,66,1,42
66016,66,1,36
66017,66,1,45
66018,66,1,44
66019,66,1,48
66020,66,1,42
66021,66,1,29
66022,66,1,33
66023,66,1,44
66024,66,1,43
66025,66,1,43
66026,66,1,44
66027,66,1,43
66028,66,1,45
66029,66,1,44
66030,66,1,26
66031,66,1,33
66032,66,1,25
66033,66,2,43
66034,66,2,44
66035,66,2,34
66036,66,2,41
66037,66,2,47
66038,66,2,45
66039,66,2,25
66040,66,2,33
66041,66,2,36
66042,66,2,28
66043,66,2,45
66044,66,2,45
66045,66,2,35
66046,66,2,35
66047,66,2,44
66048,66,2,44
66049,66,2,43
66050,66,2,25
66051,66,2,34
66052,66,2,42
66053,66,2,31
66054,66,2,34
66055,66,2,34
66056,66,2,26
66057,66,2,47
66058,66,2,43
66059,66,2,27
66060,66,2,31
66061,66,2,26
66062,66,2,42
66063,66,2,27
66064,66,2,35
67001,67,1,29
67002,67,1,26
67003,67,1,33
67004,67,1,36
67005,67,1,44
67006,67,1,36
67007,67,1,47
67008,67,1,36
67009,67,1,29
67010,67,1,35
67011,67,1,36
67012,67,1,35
67013,67,1,31
67014,67,1,36
67015,67,1,34
67016,67,1,44
67017,67,1,44
67018,67,1,49
67019,67,1,48
67020,67,1,36
67021,67,1,36
67022,67,1,44
67023,67,1,35
67024,67,1,42
67025,67,1,47
67026,67,1,36
67027,67,1,36
67028,67,1,33
67029,67,1,35
67030,67,1,21
67031,67,1,19
67032,67,1,16
67033,67,2,41
67034,67,2,33
67035,67,2,41
67036,67,2,40
67037,67,2,29
67038,67,2,36
67039,67,2,36
67040,67,2,26
67041,67,2,36
67042,67,2,34
67043,67,2,35
67044,67,2,22
67045,67,2,36
67046,67,2,41
67047,67,2,19
67048,67,2,47
67049,67,2,49
67050,67,2,35
67051,67,2,44
67052,67,2,43
67053,67,2,45
67054,67,2,36
67055,67,2,41
67056,67,2,47
67057,67,2,35
67058,67,2,33
67059,67,2,46
67060,67,2,15
67061,67,2,45
67062,67,2,48
67063,67,2,31
67064,67,2,35
83002,83,1,15
83003,83,1,25
83004,83,1,27
83005,83,1,14
83006,83,1,18
83007,83,1,22
83008,83,1,27
83009,83,1,16
83010,83,1,24
83011,83,1,32
83012,83,1,30
83013,83,1,26
83014,83,1,13
83015,83,1,15
83016,83,1,18
83017,83,1,18
83018,83,1,21
83019,83,1,24
83020,83,1,27
83021,83,1,27
83022,83,1,19
83023,83,1,23
83024,83,1,26
83025,83,1,27
83026,83,1,27
83027,83,1,28
83028,83,1,26
83029,83,1,18
83030,83,1,18
83031,83,1,18
83032,83,1,17
83033,83,1,29
83034,83,1,27
83035,83,1,36
83036,83,1,36
83037,83,1,18
83038,83,1,18
83039,83,1,30
83040,83,1,22
83041,83,2,20
83042,83,2,25
83043,83,2,20
83044,83,2,19
83045,83,2,24
83046,83,2,17
83047,83,2,27
83048,83,2,18
83049,83,2,18
83050,83,2,20
83051,83,2,27
83052,83,2,27
83053,83,2,15
83054,83,2,20
83055,83,2,15
83056,83,2,15
83057,83,2,18
83058,83,2,17
83059,83,2,25
83060,83,2,18
83061,83,2,27
83062,83,2,14
83063,83,2,20
83064,83,2,36
83065,83,2,27
83066,83,2,27
83067,83,2,30
83068,83,2,36
83069,83,2,33
83070,83,2,26
83071,83,2,26
83072,83,2,18
83073,83,2,15
83074,83,2,28
83075,83,2,27
83076,83,2,21
83078,83,2,27
83079,83,2,27
83080,83,2,28
83081,83,3,36
83082,83,3,26
83083,83,3,21
83084,83,3,19
83085,83,3,18
83086,83,3,20
83087,83,3,36
83088,83,3,14
83089,83,3,14
83090,83,3,26
83091,83,3,27
83092,83,3,15
83093,83,3,15
83094,83,3,24
83095,83,3,19
83096,83,3,27
83097,83,3,28
83099,83,3,20
83100,83,3,25
83101,83,3,15
83102,83,3,26
83103,83,3,15
83104,83,3,20
83105,83,3,30
83106,83,3,26
83107,83,3,26
83108,83,3,27
83109,83,3,22
83110,83,3,27
83111,83,3,16
83112,83,3,14
83113,83,3,32
83114,83,3,27
83115,83,3,14
83116,83,3,27
83117,83,3,21
83118,83,3,14
83119,83,3,15
83120,83,3,14
89002,89,1,8
89003,89,1,28
89004,89,1,36
89005,89,1,21
89006,89,1,22
89007,89,1,20
89008,89,1,20
89009,89,1,14
89010,89,1,21
89011,89,1,16
89012,89,1,26
89013,89,2,8
89014,89,2,14
89015,89,2,28
89016,89,2,21
89017,89,2,20
89019,89,2,20
89020,89,2,22
89021,89,2,26
89022,89,2,36
89023,89,2,15
89024,89,2,19
89025,89,3,27
89026,89,3,36
89027,89,3,20
89028,89,3,8
89029,89,3,14
89030,89,3,24
89031,89,3,20
89032,89,3,14
89033,89,3,21
89035,89,3,21
89036,89,3,19
116002,116,1,14
116003,116,1,19
116004,116,1,15
116005,116,1,19
116006,116,1,20
116007,116,1,17
116008,116,1,14
116009,116,1,14
116010,116,1,12
116011,116,1,17
116012,116,1,16
116013,116,1,13
116014,116,1,14
116015,116,1,15
116016,116,1,14
116017,116,1,10
116018,116,1,17
116019,116,1,15
116020,116,1,17
116021,116,1,15
116022,116,1,14
116023,116,1,15
116024,116,1,17
116025,116,1,14
116026,116,1,15
116027,116,1,13
116028,116,1,13
116029,116,1,6
116030,116,1,18
116031,116,1,13
116032,116,1,6
116033,116,1,5
116034,116,1,14
116035,116,1,15
116036,116,1,16
116037,116,1,17
116038,116,1,19
116039,116,1,13
116040,116,1,10
116041,116,1,14
116042,116,1,10
116043,116,1,15
116044,116,1,14
116045,116,1,5
116046,116,1,15
116047,116,1,16
116048,116,1,18
116049,116,2,14
116050,116,2,17
116051,116,2,19
116052,116,2,15
116053,116,2,10
116054,116,2,17
116055,116,2,15
116056,116,2,17
116057,116,2,11
116058,116,2,16
116059,116,2,16
116060,116,2,17
116061,116,2,19
116062,116,2,16
116063,116,2,15
116064,116,2,15
116065,116,2,15
116066,116,2,15
116067,116,2,12
116069,116,2,14
116070,116,2,19
116071,116,2,18
116072,116,2,6
116073,116,2,14
116074,116,2,14
116075,116,2,13
116076,116,2,15
116077,116,2,15
116078,116,2,16
116079,116,2,13
116080,116,2,12
116081,116,2,17
116082,116,2,15
116083,116,2,14
116084,116,2,5
116085,116,2,16
116086,116,2,18
116087,116,2,15
116088,116,2,15
116089,116,2,13
116090,116,2,15
116091,116,2,19
116092,116,2,14
116093,116,2,6
116094,116,2,13
116095,116,2,6
116096,116,2,15
117002,117,1,13
117003,117,1,24
117004,117,1,20
117005,117,1,19
117006,117,1,20
117007,117,1,19
117008,117,1,18
117009,117,1,11
117010,117,1,26
117011,117,1,15
117012,117,1,21
117013,117,1,18
117014,117,1,14
117015,117,1,27
117016,117,1,27
117017,117,1,19
117018,117,1,26
117019,117,1,14
117020,117,1,27
117021,117,1,25
117022,117,1,19
117023,117,1,19
117024,117,1,21
117025,117,1,27
117026,117,1,31
117027,117,1,27
117028,117,1,20
117029,117,1,14
117030,117,1,19
117031,117,1,15
117032,117,1,27
117033,117,2,18
117034,117,2,20
117035,117,2,19
117036,117,2,14
117037,117,2,19
117038,117,2,26
117039,117,2,25
117040,117,2,27
117041,117,2,26
117042,117,2,31
117043,117,2,20
117044,117,2,25
117045,117,2,14
117046,117,2,27
117047,117,2,26
117048,117,2,14
117049,117,2,18
117050,117,2,26
117051,117,2,15
117052,117,2,28
117053,117,2,26
117054,117,2,20
117055,117,2,11
117056,117,2,12
117057,117,2,21
117058,117,2,15
117059,117,2,5
117060,117,2,20
117062,117,2,19
117063,117,2,27
117064,117,2,14
242002,242,1,15
242003,242,1,20
242004,242,1,21
242005,242,1,29
242006,242,1,26
242007,242,1,30
242008,242,1,26
242009,242,1,30
242010,242,1,20
242011,242,1,32
242012,242,1,29
242013,242,1,27
242014,242,1,26
242015,242,1,30
242016,242,1,30
242017,242,1,28
242018,242,1,31
242019,242,1,27
242020,242,1,26
242021,242,1,27
242022,242,1,30
242023,242,1,29
242024,242,1,27
242025,242,1,21
242026,242,1,31
242027,242,1,30
242028,242,1,15
242029,242,1,25
242030,242,1,24
242031,242,1,31
242032,242,1,13
242033,242,2,30
242034,242,2,32
242035,242,2,25
242036,242,2,30
242037,242,2,31
242038,242,2,31
242040,242,2,29
242041,242,2,26
242042,242,2,26
242043,242,2,30
242044,242,2,29
242045,242,2,27
242046,242,2,32
242047,242,2,26
242048,242,2,19
242049,242,2,25
242050,242,2,26
242051,242,2,18
242052,242,2,21
242053,242,2,31
242054,242,2,15
242055,242,2,12
242056,242,2,25
242057,242,2,27
242058,242,2,26
242059,242,2,27
242060,242,2,26
242061,242,2,32
242062,242,2,15
242063,242,2,32
242064,242,2,30
264001,264,1,36
264002,264,1,26
264003,264,1,43
264004,264,1,25
264005,264,1,35
264006,264,1,33
264007,264,1,33
264008,264,1,31
264009,264,1,36
264010,264,1,26
264011,264,1,33
264012,264,1,50
264013,264,1,25
264014,264,1,42
264015,264,1,21
264016,264,1,20
264017,264,2,42
264018,264,2,29
264019,264,2,32
264020,264,2,50
264021,264,2,32
264022,264,2,35
264023,264,2,46
264024,264,2,26
264025,264,2,33
264026,264,2,27
264027,264,2,21
264028,264,2,20
264029,264,2,29
264030,264,2,25
264031,264,2,35
264032,264,2,35
264033,264,3,25
264034,264,3,35
264035,264,3,29
264036,264,3,33
264037,264,3,43
264038,264,3,21
264039,264,3,27
264040,264,3,50
264041,264,3,42
264042,264,3,26
264043,264,3,35
264044,264,3,34
264045,264,3,30
264046,264,3,34
264047,264,3,34
